id,width,height,x,y,winning,acerto,pontos,time
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,5,5,False,0,0,1647994132.769408
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,2,1,False,-1,0,1647994132.7712672
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,2,7,False,0,0,1647994132.772567
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,7,4,False,-1,0,1647994132.773826
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,1,2,False,0,0,1647994132.7751014
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,2,5,False,-1,0,1647994132.7763083
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,5,4,False,0,0,1647994132.7775097
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,5,1,False,-1,0,1647994132.778694
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,0,0,False,0,0,1647994132.7799108
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,0,7,False,-1,0,1647994132.7811024
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,1,7,False,0,0,1647994132.78262
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,0,1,False,-1,0,1647994132.784439
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,1,0,False,0,0,1647994132.7856894
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,5,3,False,-1,0,1647994132.7868145
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,2,4,False,0,0,1647994132.7879207
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,6,7,False,-1,0,1647994132.7890303
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,5,6,False,0,0,1647994132.7901063
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,7,5,False,-1,0,1647994132.7911878
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,1,2,False,0,0,1647994132.7922676
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,4,5,False,-1,0,1647994132.7933414
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,4,7,False,0,0,1647994132.7943869
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,3,4,False,-1,0,1647994132.795434
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,5,3,False,0,0,1647994132.7964888
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,1,4,False,-1,0,1647994132.7975314
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,1,5,False,0,0,1647994132.7985418
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,0,0,False,-1,0,1647994132.799535
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,6,1,False,0,0,1647994132.8005388
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,3,7,False,-1,0,1647994132.8015342
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,5,1,False,0,0,1647994132.802553
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,1,2,False,-1,0,1647994132.8035436
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,0,6,False,0,0,1647994132.804557
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,0,4,False,-1,0,1647994132.8055563
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,2,7,False,0,0,1647994132.806546
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,6,0,False,-1,0,1647994132.8075442
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,2,2,False,0,0,1647994132.8085456
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,2,7,False,-1,0,1647994132.809549
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,2,5,False,0,0,1647994132.810544
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,2,4,False,-1,0,1647994132.811536
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,2,1,False,0,0,1647994132.812536
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,4,6,False,-1,0,1647994132.8135302
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,7,7,False,0,0,1647994132.8145256
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,7,5,False,-1,0,1647994132.81568
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,7,0,False,0,0,1647994132.8168094
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,7,7,False,-1,0,1647994132.8178098
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,7,1,False,0,0,1647994132.8188014
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,6,2,False,-1,0,1647994132.8197966
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,2,6,False,0,0,1647994132.820833
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,2,4,False,-1,0,1647994132.8218253
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,3,2,False,0,0,1647994132.8228395
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,6,4,False,-1,0,1647994132.8238356
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,5,1,False,0,0,1647994132.8249135
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,6,1,False,-1,0,1647994132.8259118
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,3,4,False,0,0,1647994132.826906
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,6,2,False,-1,0,1647994132.8279035
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,0,1,False,0,0,1647994132.828946
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,7,4,False,-1,0,1647994132.829938
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,4,2,False,0,0,1647994132.830933
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,6,3,False,-1,0,1647994132.831927
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,5,1,False,0,0,1647994132.8329215
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,4,5,False,-1,0,1647994132.8339157
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,6,1,False,0,0,1647994132.8349092
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,0,3,False,-1,0,1647994132.8359032
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,5,1,False,0,0,1647994132.8368995
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,7,7,False,-1,0,1647994132.8379247
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,7,6,False,0,0,1647994132.8389864
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,4,3,False,-1,0,1647994132.8399873
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,4,4,False,0,0,1647994132.8410268
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,7,5,False,-1,0,1647994132.8420217
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,4,2,False,0,0,1647994132.8430724
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,3,2,False,-1,0,1647994132.8440788
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,3,3,False,0,0,1647994132.8451197
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,5,1,False,-1,0,1647994132.846121
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,6,1,False,0,0,1647994132.8471186
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,0,6,False,-1,0,1647994132.84814
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,2,3,False,0,0,1647994132.84915
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,4,3,False,1,10,1647994132.8501203
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,3,4,False,0,10,1647994132.8511147
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,7,3,False,-1,9,1647994132.8521106
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,2,5,False,0,9,1647994132.8531492
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,2,1,False,-1,5,1647994132.8541532
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,1,0,False,0,5,1647994132.8551524
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,6,3,False,-1,0,1647994132.8561554
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,1,1,False,0,0,1647994132.8571546
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,5,1,False,-1,0,1647994132.8581495
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,1,4,False,0,0,1647994132.8591433
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,7,2,False,-1,0,1647994132.86014
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,0,1,False,0,0,1647994132.861142
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,6,6,False,-1,0,1647994132.8621397
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,6,7,False,0,0,1647994132.8631527
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,0,7,False,-1,0,1647994132.864152
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,4,6,False,0,0,1647994132.8651536
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,3,7,False,-1,0,1647994132.8661487
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,4,6,False,0,0,1647994132.8671548
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,6,4,False,-1,0,1647994132.8681493
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,2,7,False,0,0,1647994132.8691492
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,5,0,False,-1,0,1647994132.870146
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,4,3,False,-2,0,1647994132.8710766
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,7,1,False,0,0,1647994132.8720615
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,6,3,False,-1,0,1647994132.873064
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,3,6,False,0,0,1647994132.874051
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,5,1,False,-1,0,1647994132.8750627
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,1,5,False,0,0,1647994132.8760488
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,3,0,False,-1,0,1647994132.8770473
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,5,6,False,0,0,1647994132.878036
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,3,7,False,-1,0,1647994132.8790317
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,0,2,False,0,0,1647994132.88002
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,0,2,False,-2,0,1647994132.8809652
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,2,3,False,-2,0,1647994132.881894
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,7,5,False,-1,0,1647994132.8828976
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,0,5,False,0,0,1647994132.883896
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,6,1,False,-1,0,1647994132.884909
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,2,6,False,0,0,1647994132.8859034
bcfea1a5-b584-4d90-82e4-6b21f9f97470,8,8,2,0,False,-1,0,1647994132.886897
